K,Model,Accuracy,Sensitivity,Specificity,Precision,F1_score
5,<function euclidean_dist at 0x7ff0540d2f70>,0.5785088651909209,0.586590702370171,0.5703361807857972,0.5773453292833148,0.5817778298172545
5,<function cosine_dist at 0x7ff059514670>,0.5873284671036181,0.5502097163063999,0.6246227851469368,0.5946113815112699,0.5713797208035541
5,<function manhattan_dist at 0x7ff0595145e0>,0.584764822523238,0.5991793428380224,0.5703914114743528,0.5824484217155167,0.5905175276628502
8,<function euclidean_dist at 0x7ff0540d2f70>,0.5888325641605755,0.510946719642566,0.6666707710770884,0.6053269293070705,0.5539972335390799
8,<function cosine_dist at 0x7ff059514670>,0.5886826420985006,0.4528020177483639,0.7247646609975873,0.6219345446356972,0.523839547797009
8,<function manhattan_dist at 0x7ff0595145e0>,0.5981758159383482,0.5196230273224746,0.6768073884327152,0.6166617811067995,0.5637287520889016
10,<function euclidean_dist at 0x7ff0540d2f70>,0.596818125373175,0.5355981476831665,0.6579420793585431,0.6105400073130511,0.5704649014829609
10,<function cosine_dist at 0x7ff059514670>,0.5882293603419856,0.45877443325752587,0.7180042486789656,0.6192637302974967,0.5268034616489128
10,<function manhattan_dist at 0x7ff0595145e0>,0.5951607040893455,0.5322409887881885,0.6582462244217527,0.6089662418145154,0.5677848197711752
12,<function euclidean_dist at 0x7ff0540d2f70>,0.6005845486149504,0.5534506087357425,0.6476439453170821,0.6111152025861405,0.5807078766545649
12,<function cosine_dist at 0x7ff059514670>,0.5903391561383842,0.4694510711363019,0.7114989061782437,0.6194823336908416,0.5338539576120586
12,<function manhattan_dist at 0x7ff0595145e0>,0.5999814582018538,0.5482945349382511,0.65172297168722,0.6116349540422389,0.5780142266221
15,<function euclidean_dist at 0x7ff0540d2f70>,0.6054068904043644,0.6383334390128329,0.5725672622581521,0.5989356406348378,0.6178462427275425
15,<function cosine_dist at 0x7ff059514670>,0.5951618381442778,0.5445600901197517,0.6460762392039012,0.6060050353758427,0.5734175482027422
15,<function manhattan_dist at 0x7ff0595145e0>,0.6035223746203042,0.6401326247617959,0.5671840501385509,0.5965035409558349,0.6173415448983343
